Discounted_Price,Actual_Price,Current_Discount,Rating,Sales,Type,Optimal_Discount
₹399,"₹1,099",64%,4.2,24269,Computers&Accessories,30.190158473000817
₹199,₹349,43%,4.0,43994,Computers&Accessories,27.891205793079493
₹199,"₹1,899",90%,3.9,7928,Computers&Accessories,32.091434659485685
₹329,₹699,53%,4.2,94363,Computers&Accessories,29.03935092689105
₹154,₹399,61%,4.2,16905,Computers&Accessories,28.06434047721656
₹149,"₹1,000",85%,3.9,24871,Computers&Accessories,29.919622319533033
₹176.63,₹499,65%,4.1,15188,Computers&Accessories,28.401164418096407
₹229,₹299,23%,4.3,30411,Computers&Accessories,27.714803800315575
₹499,₹999,50%,4.2,179691,Computers&Accessories,29.916844078715123
₹199,₹299,33%,4.0,43994,Computers&Accessories,27.714803800315575
₹154,₹339,55%,4.3,13391,Computers&Accessories,27.856189716673573
₹299,₹799,63%,4.2,94363,Computers&Accessories,29.341936511635126
₹219,₹700,69%,4.4,426973,Electronics,4.042767476853374
₹350,₹899,61%,4.2,2262,Computers&Accessories,29.634263219120538
₹159,₹399,60%,4.1,4768,Computers&Accessories,28.06434047721656
₹349,₹399,13%,4.4,18757,Computers&Accessories,28.06434047721656
"₹13,999","₹24,999",44%,4.2,32840,Electronics,18.253182677827912
₹249,₹399,38%,4.0,43994,Computers&Accessories,28.06434047721656
₹199,₹499,60%,4.1,13045,Computers&Accessories,28.401164418096407
"₹13,490","₹21,990",39%,4.3,11976,Electronics,17.881551171919124
₹970,"₹1,799",46%,4.5,815,Computers&Accessories,31.878243685420177
₹279,₹499,44%,3.7,10962,Electronics,3.4015025578728895
"₹13,490","₹22,900",41%,4.3,16299,Electronics,18.00239773529518
₹59,₹199,70%,4.0,9378,Computers&Accessories,27.351820819244523
"₹11,499","₹19,990",42%,4.3,4703,Electronics,17.58502648572008
₹199,₹699,72%,4.2,12153,Electronics,4.03968906666753
"₹14,999","₹19,999",25%,4.2,34899,Electronics,17.58646711957593
₹299,₹399,25%,4.0,2766,Computers&Accessories,28.06434047721656
₹970,"₹1,999",51%,4.4,184,Computers&Accessories,32.29853359257204
₹299,₹999,70%,4.3,20850,Computers&Accessories,29.916844078715123
₹199,₹750,73%,4.5,74976,Computers&Accessories,29.194984638373615
₹179,₹499,64%,4.0,1934,Computers&Accessories,28.401164418096407
₹389,"₹1,099",65%,4.3,974,Computers&Accessories,30.190158473000817
₹599,₹599,0%,4.3,355,Computers&Accessories,28.725956784020738
₹199,₹999,80%,3.9,1075,Computers&Accessories,29.916844078715123
₹99,₹666.66,85%,3.9,24871,Computers&Accessories,28.93920940140019
₹899,"₹1,900",53%,4.4,13552,Computers&Accessories,32.09353536301129
₹199,₹999,80%,4.0,576,Computers&Accessories,29.916844078715123
"₹32,999","₹45,999",28%,4.2,7298,Electronics,19.62580436474557
₹970,"₹1,999",51%,4.2,462,Computers&Accessories,32.29853359257204
